mode,seed,steps,batch_size,parameters,train_count,holdout_count,sequence_length,chance_nll,initial_train_nll,initial_holdout_nll,final_train_nll,final_holdout_nll,final_train_accuracy,final_holdout_accuracy,mean_estimated_madds_per_token,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,first_window_loss,last_window_loss
core_only,0,120,6,327,96,32,10,1.609437912434,1.670529278782,1.690458197960,0.908917660218,1.068202304817,0.625000000000,0.625000000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.617669838179,0.916938971767
sgw,0,120,6,2182,96,32,10,1.609437912434,1.745435056817,1.680131348523,0.790609064511,1.073552634882,0.718750000000,0.562500000000,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.666474490843,0.861623184316
core_only,1,120,6,327,96,32,10,1.609437912434,1.624882359794,1.623070086278,0.645951694143,1.108441423754,0.791666666667,0.531250000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.610590145683,0.684744227690
sgw,1,120,6,2182,96,32,10,1.609437912434,1.643666966096,1.612943421223,0.519700791103,1.382918132236,0.812500000000,0.468750000000,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.639863270074,0.549382254861
core_only,2,120,6,327,96,32,10,1.609437912434,1.643097528700,1.718743069048,0.829220227150,1.733693533094,0.708333333333,0.343750000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.637567758983,0.854899994497
sgw,2,120,6,2182,96,32,10,1.609437912434,1.641111798083,1.667529543628,0.555678175230,1.601836788891,0.802083333333,0.375000000000,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.618046434629,0.654665719865
core_only,3,120,6,327,96,32,10,1.609437912434,1.645080563074,1.626383984281,0.560628934038,1.794153457003,0.791666666667,0.375000000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.613271068776,0.698777893421
sgw,3,120,6,2182,96,32,10,1.609437912434,1.630204329713,1.619420796214,0.546203074815,1.725802414334,0.822916666667,0.312500000000,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.678372384489,0.645854145445
core_only,4,120,6,327,96,32,10,1.609437912434,1.662754437758,1.713723828845,0.863602959571,1.888454679821,0.718750000000,0.312500000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.625949902852,0.925502945667
sgw,4,120,6,2182,96,32,10,1.609437912434,1.685456707415,1.629419427143,0.585005518129,1.579715210285,0.770833333333,0.468750000000,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.673208481347,0.660560014804
