condition,role,seeds,modal_dominant_mechanism,modal_count,stability_fraction
core_small,entity,30,,0,0.0
core_small,value,30,,0,0.0
core_small,filler,30,,0,0.0
core_small,query_marker,30,,0,0.0
core_small,query_entity,30,,0,0.0
core_compute_matched,entity,30,,0,0.0
core_compute_matched,value,30,,0,0.0
core_compute_matched,filler,30,,0,0.0
core_compute_matched,query_marker,30,,0,0.0
core_compute_matched,query_entity,30,,0,0.0
core_param_matched,entity,30,,0,0.0
core_param_matched,value,30,,0,0.0
core_param_matched,filler,30,,0,0.0
core_param_matched,query_marker,30,,0,0.0
core_param_matched,query_entity,30,,0,0.0
sgw_redundant_final_only,entity,30,2,11,0.36666666666666664
sgw_redundant_final_only,value,30,0,7,0.23333333333333334
sgw_redundant_final_only,filler,30,2,7,0.23333333333333334
sgw_redundant_final_only,query_marker,30,2,7,0.23333333333333334
sgw_redundant_final_only,query_entity,30,2,8,0.26666666666666666
sgw_broadcast_forced_final_only,entity,30,3,7,0.23333333333333334
sgw_broadcast_forced_final_only,value,30,3,7,0.23333333333333334
sgw_broadcast_forced_final_only,filler,30,0,6,0.2
sgw_broadcast_forced_final_only,query_marker,30,0,8,0.26666666666666666
sgw_broadcast_forced_final_only,query_entity,30,3,9,0.3
sgw_broadcast_forced_aux_annealed,entity,30,2,10,0.3333333333333333
sgw_broadcast_forced_aux_annealed,value,30,0,7,0.23333333333333334
sgw_broadcast_forced_aux_annealed,filler,30,2,8,0.26666666666666666
sgw_broadcast_forced_aux_annealed,query_marker,30,3,7,0.23333333333333334
sgw_broadcast_forced_aux_annealed,query_entity,30,2,6,0.2
