preset,seed,steps,batch_size,parameters,train_count,holdout_count,sequence_length,chance_nll,initial_train_nll,initial_holdout_nll,final_train_nll,final_holdout_nll,final_train_accuracy,final_holdout_accuracy,mean_estimated_madds_per_token,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,first_window_loss,last_window_loss,mechanism_load,role_mechanism_load,condition,workspace_aux_initial_weight,workspace_aux_anneal_steps,first_primary_window_loss,last_primary_window_loss,last_workspace_aux_window_loss,anneal_boundary_primary_window_loss,final_workspace_aux_weight,final_weighted_workspace_aux_window_loss
core_full_content,0,400,8,1169,160,48,8,1.609437912434,1.679802791708,1.622134388222,0.033454315663,2.181155273931,1.000000000000,0.395833333333,984.000000000000,0.000000000000,0.000000000000,0.000000000000,1.689000501255,0.051037243070,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_full_content,0.000000000000,0,1.689000501255,0.051037243070,0.000000000000,0.000000000000,0.000000000000,0.000000000000
core_content_blind,0,400,8,725,160,48,8,1.609437912434,1.609437912434,1.609437912434,1.577647943944,1.650507773905,0.262500000000,0.187500000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.644399337803,1.576953067607,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_content_blind,0.000000000000,0,1.644399337803,1.576953067607,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,0,400,8,15650,160,48,8,1.609437912434,1.648868286345,1.596885175067,0.324120206533,1.758623092674,0.887500000000,0.500000000000,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,1.660159028727,0.562912858577,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_final_only,0.000000000000,0,1.660159028727,0.562912858577,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,0,400,8,15650,160,48,8,1.609437912434,1.648868286345,1.596885175067,0.205264999276,1.968094103572,0.912500000000,0.541666666667,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,2.442015411116,0.313631343778,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_aux_annealed,0.500000000000,200,1.653659953745,0.313631343778,0.000000000000,0.827767166288,0.000000000000,0.000000000000
core_full_content,1,400,8,1169,160,48,8,1.609437912434,1.717228078582,1.681423138643,0.146080555088,1.932278769885,0.950000000000,0.437500000000,984.000000000000,0.000000000000,0.000000000000,0.000000000000,1.654685041574,0.366580505701,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_full_content,0.000000000000,0,1.654685041574,0.366580505701,0.000000000000,0.000000000000,0.000000000000,0.000000000000
core_content_blind,1,400,8,725,160,48,8,1.609437912434,1.609437912434,1.609437912434,1.594486469476,1.581898174273,0.231250000000,0.333333333333,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.625098705779,1.578109181013,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_content_blind,0.000000000000,0,1.625098705779,1.578109181013,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,1,400,8,15650,160,48,8,1.609437912434,1.646247840654,1.643136777089,0.339313072527,1.934628961396,0.906250000000,0.395833333333,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,1.668522902028,0.600177371403,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_final_only,0.000000000000,0,1.668522902028,0.600177371403,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,1,400,8,15650,160,48,8,1.609437912434,1.646247840654,1.643136777089,0.285638665859,1.865359053716,0.893750000000,0.458333333333,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,2.439431797489,0.387518191904,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_aux_annealed,0.500000000000,200,1.659257348362,0.387518191904,0.000000000000,0.990366457615,0.000000000000,0.000000000000
core_full_content,2,400,8,1169,160,48,8,1.609437912434,1.654226674068,1.679725674271,0.147358575922,2.902112359308,0.950000000000,0.354166666667,984.000000000000,0.000000000000,0.000000000000,0.000000000000,1.666182861642,0.153619165355,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_full_content,0.000000000000,0,1.666182861642,0.153619165355,0.000000000000,0.000000000000,0.000000000000,0.000000000000
core_content_blind,2,400,8,725,160,48,8,1.609437912434,1.609437912434,1.609437912434,1.597929226756,1.614037982103,0.256250000000,0.187500000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.602954215870,1.604170713726,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_content_blind,0.000000000000,0,1.602954215870,1.604170713726,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,2,400,8,15650,160,48,8,1.609437912434,1.643006016076,1.654017713584,0.208694243729,1.955340016399,0.943750000000,0.479166666667,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,1.576108939784,0.515808278302,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_final_only,0.000000000000,0,1.576108939784,0.515808278302,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,2,400,8,15650,160,48,8,1.609437912434,1.643006016076,1.654017713584,0.551828676192,2.405474346727,0.806250000000,0.458333333333,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,2.346027008212,0.995237081070,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_aux_annealed,0.500000000000,200,1.579997910363,0.995237081070,0.000000000000,0.592937711686,0.000000000000,0.000000000000
core_full_content,3,400,8,1169,160,48,8,1.609437912434,1.744912457184,1.751431327347,0.063305587692,2.480006746977,0.987500000000,0.312500000000,984.000000000000,0.000000000000,0.000000000000,0.000000000000,1.695200041572,0.101153034487,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_full_content,0.000000000000,0,1.695200041572,0.101153034487,0.000000000000,0.000000000000,0.000000000000,0.000000000000
core_content_blind,3,400,8,725,160,48,8,1.609437912434,1.609437912434,1.609437912434,1.598793698735,1.610420224613,0.256250000000,0.208333333333,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.634936912675,1.597670534165,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_content_blind,0.000000000000,0,1.634936912675,1.597670534165,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,3,400,8,15650,160,48,8,1.609437912434,1.622740849113,1.592961622845,0.397323385220,2.296036240866,0.850000000000,0.333333333333,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,1.643671722489,0.754406984323,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_final_only,0.000000000000,0,1.643671722489,0.754406984323,0.000000000000,0.000000000000,0.000000000000,0.000000000000
mediation_fixed,3,400,8,15650,160,48,8,1.609437912434,1.622740849113,1.592961622845,0.210897864782,2.493813759119,0.931250000000,0.250000000000,6784.000000000000,1.000000000000,0.750000000000,1.000000000000,2.418659299448,0.294286415885,96;96;96;96,entity:48;48;48;0|value:48;48;48;0|filler:0;0;0;0|query_marker:0;0;0;48|query_entity:0;0;0;48,mediation_aux_annealed,0.500000000000,200,1.637023571721,0.294286415885,0.000000000000,0.851754907786,0.000000000000,0.000000000000
