intervention,metric,mean_degradation,ci_low,ci_high,harmful_seeds,n
no_broadcast,holdout_nll,0.34454856930383326,0.2788678329267791,0.41183243769494415,30,30
no_broadcast,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
no_broadcast,holdout_brier,-0.00011979983129997892,-0.013524918006219988,0.01246932611391251,16,30
no_broadcast,holdout_ece,-0.07435970796453333,-0.09360833173747168,-0.056355579907172486,2,30
no_broadcast,holdout_max_confidence,-0.08184580647833334,-0.10059985460210001,-0.06357504629855333,1,30
no_broadcast,holdout_true_class_probability,0.027960470562966667,0.021516275540724165,0.03466701365077834,30,30
no_workspace_persistence,holdout_nll,0.2953782962705333,0.24342657852118918,0.34782984374802256,30,30
no_workspace_persistence,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
no_workspace_persistence,holdout_brier,0.008876523710499991,-0.0034856350407,0.021116515524851675,18,30
no_workspace_persistence,holdout_ece,-0.05397326481656666,-0.0677609041023875,-0.04066552365147749,2,30
no_workspace_persistence,holdout_max_confidence,-0.061459363330366674,-0.07534285471508083,-0.04820033504433666,1,30
no_workspace_persistence,holdout_true_class_probability,0.025353447900633333,0.019482665610240833,0.03146548141386417,30,30
no_workspace_output,holdout_nll,0.0,0.0,0.0,0,30
no_workspace_output,holdout_accuracy,0.0,0.0,0.0,0,30
no_workspace_output,holdout_brier,0.0,0.0,0.0,0,30
no_workspace_output,holdout_ece,0.0,0.0,0.0,0,30
no_workspace_output,holdout_max_confidence,0.0,0.0,0.0,0,30
no_workspace_output,holdout_true_class_probability,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_nll,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_accuracy,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_brier,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_ece,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_max_confidence,0.0,0.0,0.0,0,30
no_spine_workspace,holdout_true_class_probability,0.0,0.0,0.0,0,30
no_mechanism_output,holdout_nll,-1.0945137240265668,-1.1841826756322518,-1.0084108546695416,0,30
no_mechanism_output,holdout_accuracy,-0.156875,-0.16645833333333335,-0.14625000000000002,0,30
no_mechanism_output,holdout_brier,-0.3576424329330333,-0.3679709464171125,-0.3471835452137967,0,30
no_mechanism_output,holdout_ece,-0.33395319313436667,-0.3605934761394608,-0.30824863476135667,0,30
no_mechanism_output,holdout_max_confidence,-0.17498095831483335,-0.19968516903694417,-0.15073788358590254,0,30
no_mechanism_output,holdout_true_class_probability,-0.12155948426153333,-0.12934582595639083,-0.11373867162422001,0,30
workspace_disconnected,holdout_nll,0.34454856930383326,0.27853580489943336,0.41158462808576085,30,30
workspace_disconnected,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
workspace_disconnected,holdout_brier,-0.00011979983129997892,-0.013566523367233291,0.01251816015310004,16,30
workspace_disconnected,holdout_ece,-0.07435970796453333,-0.09366965544156332,-0.05614389592612334,2,30
workspace_disconnected,holdout_max_confidence,-0.08184580647833334,-0.10072115796554168,-0.06352280819986417,1,30
workspace_disconnected,holdout_true_class_probability,0.027960470562966667,0.021554806437680003,0.03466644980157917,30,30
no_workspace_writes,holdout_nll,0.3318511864492999,0.27104129068147403,0.3946495357083408,30,30
no_workspace_writes,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
no_workspace_writes,holdout_brier,0.008008079681999998,-0.004746653406538347,0.020493212438592517,18,30
no_workspace_writes,holdout_ece,-0.06417113388243333,-0.08383410492976583,-0.04547742491385749,2,30
no_workspace_writes,holdout_max_confidence,-0.07165723239623333,-0.09074655364088584,-0.052872356120703345,1,30
no_workspace_writes,holdout_true_class_probability,0.0273680536196,0.021190137119309164,0.03379968574666167,30,30
zero_reader_inbox,holdout_nll,0.34454856930383326,0.2779365030926549,0.41136574671833587,30,30
zero_reader_inbox,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
zero_reader_inbox,holdout_brier,-0.00011979983129997892,-0.0134232017255258,0.012410476722714215,16,30
zero_reader_inbox,holdout_ece,-0.07435970796453333,-0.09336831680964583,-0.05617909131176833,2,30
zero_reader_inbox,holdout_max_confidence,-0.08184580647833334,-0.10077186774704416,-0.0636819657832925,1,30
zero_reader_inbox,holdout_true_class_probability,0.027960470562966667,0.02154330724644417,0.03458170175337834,30,30
permuted_recipients,holdout_nll,0.34454856930383326,0.27826038959532323,0.41103753340919086,30,30
permuted_recipients,holdout_accuracy,0.009583333333333333,0.004375,0.015625,10,30
permuted_recipients,holdout_brier,-0.00011979983129997892,-0.013551095318838316,0.012385301150738395,16,30
permuted_recipients,holdout_ece,-0.07435970796453333,-0.09339837045939084,-0.055991695585163336,2,30
permuted_recipients,holdout_max_confidence,-0.08184580647833334,-0.1007745507453375,-0.06362589447357082,1,30
permuted_recipients,holdout_true_class_probability,0.027960470562966667,0.021553633213910833,0.0346052445211125,30,30
