comparison,baseline,candidate,metric,mean_improvement,ci_low,ci_high,favorable_seeds,n
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_nll,0.6734617902596667,0.5393553558108424,0.8005613828143616,28,30
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_brier,0.2579244200890667,0.23145956075264332,0.28324053357731915,30,30
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_ece,0.26834008140093335,0.24448010014499336,0.29272956962886165,30,30
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_accuracy,-0.035416666666666666,-0.045625,-0.025625,2,30
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_max_confidence,-0.3027834510633,-0.3273313425165167,-0.27880578693239416,0,30
bounded_vs_linear,structural_mediation_linear,structural_mediation_bounded,final_holdout_true_class_probability,-0.013571992733933334,-0.023526484947215834,-0.0043068060025808295,11,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_nll,-1.0758947317544,-1.16552417411308,-0.9901091576961033,0,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_brier,-0.35128565090663333,-0.3607972096584967,-0.3413316747001017,0,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_ece,-0.3439542434060667,-0.37112718020308083,-0.3165088571620267,0,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_accuracy,-0.16416666666666666,-0.17354166666666665,-0.15479166666666666,0,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_max_confidence,0.17773834661186666,0.15297120395227248,0.20278775130017332,30,30
bounded_vs_blind,structural_core_blind,structural_mediation_bounded,final_holdout_true_class_probability,-0.11862708316836666,-0.12616863227910416,-0.11084564999565333,0,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_nll,0.48429929878983324,0.38016898566138,0.5864454198938917,28,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_brier,0.2542807750831667,0.23455596254973834,0.2748725963240267,30,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_ece,0.27568329803363334,0.25219113251401587,0.2995321588957616,30,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_accuracy,-0.020625,-0.029583333333333333,-0.01125,4,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_max_confidence,-0.2957420106820334,-0.3212293749843275,-0.2711198257820841,0,30
bounded_vs_full,structural_core_full,structural_mediation_bounded,final_holdout_true_class_probability,-0.007533942900433335,-0.016980703684397504,0.0015877011225383345,12,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_nll,-1.7493565220140668,-1.840669066441765,-1.6559543541112167,0,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_brier,-0.6092100709956999,-0.6340338325161692,-0.5835758431863917,0,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_ece,-0.612294324807,-0.6332753193429784,-0.5893232045742309,0,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_accuracy,-0.12875,-0.14166666666666666,-0.11604166666666665,0,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_max_confidence,0.4805217976751667,0.46178644829143,0.4971212486228625,30,30
linear_vs_blind,structural_core_blind,structural_mediation_linear,final_holdout_true_class_probability,-0.10505509043443334,-0.11312877730637001,-0.096339880237935,0,30
