condition,mechanism,total_activations,activation_share
structural_core_full,0,0,0.0
structural_core_full,1,0,0.0
structural_core_full,2,0,0.0
structural_core_full,3,0,0.0
structural_core_full,4,0,0.0
structural_core_full,5,0,0.0
structural_core_blind,0,0,0.0
structural_core_blind,1,0,0.0
structural_core_blind,2,0,0.0
structural_core_blind,3,0,0.0
structural_core_blind,4,0,0.0
structural_core_blind,5,0,0.0
structural_mediation_linear,0,9600,0.25
structural_mediation_linear,1,9600,0.25
structural_mediation_linear,2,9600,0.25
structural_mediation_linear,3,9600,0.25
structural_mediation_bounded,0,9600,0.25
structural_mediation_bounded,1,9600,0.25
structural_mediation_bounded,2,9600,0.25
structural_mediation_bounded,3,9600,0.25
