condition,kind,slot,total,share
structural_core_blind,read,0,0,0.0
structural_core_blind,read,1,0,0.0
structural_core_blind,read,2,0,0.0
structural_core_blind,write,0,0,0.0
structural_core_blind,write,1,0,0.0
structural_core_blind,write,2,0,0.0
kv_fixed_position,read,0,1605,0.334375
kv_fixed_position,read,1,1614,0.33625
kv_fixed_position,read,2,1581,0.329375
kv_fixed_position,write,0,9600,0.3333333333333333
kv_fixed_position,write,1,9600,0.3333333333333333
kv_fixed_position,write,2,9600,0.3333333333333333
kv_first_free,read,0,1605,0.334375
kv_first_free,read,1,1614,0.33625
kv_first_free,read,2,1581,0.329375
kv_first_free,write,0,9600,0.3333333333333333
kv_first_free,write,1,9600,0.3333333333333333
kv_first_free,write,2,9600,0.3333333333333333
kv_hard_router,read,0,1601,0.3335416666666667
kv_hard_router,read,1,1582,0.32958333333333334
kv_hard_router,read,2,1617,0.336875
kv_hard_router,write,0,9600,0.3333333333333333
kv_hard_router,write,1,9600,0.3333333333333333
kv_hard_router,write,2,9600,0.3333333333333333
kv_annealed_router,read,0,1613,0.3360416666666667
kv_annealed_router,read,1,1598,0.3329166666666667
kv_annealed_router,read,2,1589,0.3310416666666667
kv_annealed_router,write,0,9600,0.3333333333333333
kv_annealed_router,write,1,9600,0.3333333333333333
kv_annealed_router,write,2,9600,0.3333333333333333
