comparison,baseline,candidate,metric,n,mean_improvement,sd_improvement,ci_low,ci_high,favorable_count
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,final_holdout_nll,30,0.8816799066790334,0.4267497779948216,0.7437708619836825,1.041981245187511,30
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,final_holdout_brier,30,0.45407866108696665,0.17844612237490373,0.3961026980789583,0.5208564036460734,30
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,final_holdout_ece,30,-0.030017727217000002,0.05204878308017474,-0.04814977105562167,-0.011788898360517495,7
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,final_holdout_accuracy,30,0.5785416666666666,0.1075751959003027,0.5435416666666666,0.6181249999999999,30
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,query_read_hit_rate,30,0.7260416666666667,0.12920808336737785,0.6839583333333333,0.7745833333333334,30
curriculum_vs_fifo,kv_delayed_fifo,kv_delayed_annealed_curriculum,relevant_survival_rate,30,0.7259722222222333,0.12922659591073385,0.6839583333333333,0.7741666666666667,30
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,final_holdout_nll,30,0.8529041356521667,0.42449795926550155,0.7155207185366624,1.0116349573247725,30
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,final_holdout_brier,30,0.44125556728453336,0.17788255707011633,0.38378574021428996,0.5079598560080834,30
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,final_holdout_ece,30,-0.011574688621599999,0.04279921129791905,-0.02640264144760833,0.003954114123373334,12
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,final_holdout_accuracy,30,0.48854166666666665,0.10878793597806613,0.45208333333333334,0.52875,30
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,query_read_hit_rate,30,0.6091666666666666,0.13926892450698874,0.563125,0.6616666666666666,30
curriculum_vs_reservoir,kv_delayed_reservoir,kv_delayed_annealed_curriculum,relevant_survival_rate,30,0.6054166666667334,0.13553940061391337,0.5605555555555667,0.6558333333333667,30
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,final_holdout_nll,30,0.7241469632999,0.36495883730303696,0.6066163330162009,0.8612999312398192,30
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,final_holdout_brier,30,0.3732035681068,0.15448696298472034,0.32280071495571,0.4306950824645092,30
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,final_holdout_ece,30,-0.007156586084633333,0.0602984795406264,-0.02802716722163667,0.014369909774164183,13
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,final_holdout_accuracy,30,0.36395833333333333,0.13264024918561856,0.3179166666666667,0.41083333333333333,30
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,query_read_hit_rate,30,0.4295833333333333,0.16535076787478675,0.3725,0.48874999999999996,30
curriculum_vs_hard,kv_delayed_hard,kv_delayed_annealed_curriculum,relevant_survival_rate,30,0.4275694444444,0.16674807937361177,0.3691649305554583,0.4869444444444,30
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,final_holdout_nll,30,0.17950113612436666,0.6325981301010547,-0.04662686355790332,0.3984879554903751,20
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,final_holdout_brier,30,0.08981492591790001,0.27478479817321216,-0.008211950845582489,0.1857146684751917,23
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,final_holdout_ece,30,-0.0077955160076,0.0634840457985969,-0.029879492957329164,0.014450260778123352,15
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,final_holdout_accuracy,30,0.09625,0.2242600380254414,0.019375000000000007,0.17645833333333333,22
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,query_read_hit_rate,30,0.11479166666666667,0.2815371299342401,0.017499999999999998,0.215625,16
curriculum_vs_direct,kv_delayed_annealed_direct,kv_delayed_annealed_curriculum,relevant_survival_rate,30,0.11430555555556668,0.28163885067486155,0.017986111111132498,0.21625,16
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,final_holdout_nll,30,0.5446458271755333,0.47498583332354344,0.38546316995455165,0.7191177931057259,26
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,final_holdout_brier,30,0.2833886421889,0.22102785314134202,0.20744186639523915,0.3628542125162725,26
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,final_holdout_ece,30,0.0006389299229666666,0.05968718620358021,-0.020059438683844164,0.021730380726370006,15
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,final_holdout_accuracy,30,0.2677083333333333,0.2312999907134088,0.18416666666666667,0.34791666666666665,25
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,query_read_hit_rate,30,0.31479166666666664,0.3006793821937859,0.20645833333333333,0.41833333333333333,25
direct_vs_hard,kv_delayed_hard,kv_delayed_annealed_direct,relevant_survival_rate,30,0.31326388888883333,0.29892922499034447,0.2053472222221,0.4150017361110759,26
